dosef,energy,natom,mass,fmax,smax,hform,volume,gap_nosoc,gap
1.230867837,-26.42034683,4,617.09576,0.011417443,9.34E-05,-0.094586707,284.6797982,0,0
2.897240852,-31.12966739,4,127.732,0.006284441,0.000441312,-1.875416847,263.8069772,0,0
1.459277977,-25.21028702,4,159.854,0.005302992,0.000493485,-0.918571755,255.9971309,0,0
1.707840674,-23.47850441,4,253.676,0.009693755,0.000363526,-0.783126102,268.640903,0,0
0.644009741,-32.44674743,4,133.881,0.009264471,0.000160962,-1.287686856,227.7240819,0,0
1.699100625,-27.56286311,4,166.003,0.005127235,0.000150299,-0.589715776,222.0766665,0,0
1.767382856,-25.82755811,4,259.825,0.00979201,0.000130112,-0.453389529,230.3238494,0,0
2.013817354,-24.00179457,4,357.083,0.013279712,5.39E-05,-0.135948642,238.5763689,0,0
2.19686306,-35.61729967,4,399.678,0.004974197,0.000173377,-0.599824917,228.0699635,0,0
0.995550872,-30.75031371,4,431.8,0.001164084,8.74E-05,0.093921571,243.306603,0,0
1.305666934,-29.49581079,4,525.622,0.010015891,0.00015776,0.110047304,253.2451888,0,0
1.376751846,-28.13934343,4,622.88,0.008336248,6.50E-05,0.310164142,260.9270716,0,0
2.30180491,-32.86129492,4,214.446,0.003348669,0.000106643,-1.951823731,317.6776858,0,0
1.118517701,-26.793477,4,246.568,0.005596769,5.13E-05,-0.957869251,306.6228719,0,0
1.050314732,-25.16398313,4,340.39,0.009806626,0.000107419,-0.847995783,318.5714493,0,0
1.248779637,-23.3864951,4,437.648,0.002983727,3.43E-05,-0.542623776,337.8454963,0,0
0,-8.32362832,2,101.9031335,7.22E-14,6.85E-05,0.03868584,218.1541676,1.239192846,1.237286521
0,-13.82124763,2,40.9885385,3.96E-13,0.000643773,-0.865123813,127.639028,2.892562546,2.892540351
0,-7.551540269,2,148.7415385,0.003253097,2.02E-05,0.296229866,261.1305157,1.459350749,1.453232771
0,-10.63262939,2,85.731595,3.10E-13,0.000106107,0.367685305,149.3528444,0.75991111,0.75650295
0,-17.6415404,2,24.817,1.11E-13,0.001310473,-1.291770201,81.85811178,4.666910141,4.666851528
0,-12.1280051,2,41.783762,7.12E-14,0.000134977,-0.029002552,134.340321,0.898356271,0.898202962
0,-9.497258475,2,132.57,1.86E-13,0.000105135,0.806870762,180.0354573,0.324336435,0.313964267
0,-7.43983724,2,144.644595,0.002457814,2.96E-05,0.06308138,222.8699666,1.099156618,1.093558343
0,-11.26193753,2,83.73,8.38E-14,0.000669791,-0.002968766,138.7728406,1.877937453,1.876537981
0,-8.163992128,2,100.696762,0.004929844,2.71E-05,0.052003936,206.0337368,1.586441923,1.583246966
0,-11.49375336,2,88.629,0.003737307,0.000131381,-0.926876679,125.5525514,2.084307265,2.079948512
0,-9.043473802,2,104.69,0.003691111,0.000107471,-0.224736901,172.4031733,2.473184071,2.446749443
0,-8.379659036,2,151.601,0.001771632,1.33E-05,-0.190329518,191.4289918,2.287149595,2.219145588
